"id","sd","MOS_1","MOS_2","MOS_3","MOS_4","MOS_5","MOS_6","MOS_7","MOS_8","MOS_9","MOS_10","MOS_11","MOS_12","MOS_13","MOS_14","MOS_15","MOS_16","MOS_17","MOS_18","MOS_19","MOS_20","MOS_21","MOS_22","MOS_22_text","MOS_23","MOS_23_text","MOS_24"
28,1,2,5,5,3,4,1,3,3,1,1,1,3,1,2,2,1,1,4,5,2,3,1,"""",4,"",8
29,1,2,5,5,5,1,1,5,5,2,1,1,3,1,1,1,2,2,5,5,1,5,2,"""",4,"",8
30,0,2,3,4,2,2,3,4,2,3,3,3,2,2,3,4,2,3,3,2,1,4,0,"""",5,"",5
31,1,3,5,5,5,2,1,5,5,1,1,1,3,1,4,3,4,2,5,1,5,5,4,"""",0,"",9
32,0,3,3,5,1,2,1,4,3,2,1,2,3,1,3,4,4,5,4,5,3,4,0,"""",3,"",7
33,1,4,4,5,5,4,5,5,4,1,1,1,4,1,5,4,1,4,5,0,1,5,0,"""",5,"",9
34,1,3,5,4,1,2,1,4,4,3,3,3,2,1,3,5,2,1,4,5,1,5,0,"""",5,"",8
35,1,2,3,3,3,4,3,3,2,1,3,2,2,2,2,4,2,2,4,4,2,2,0,"""",3,"",6
36,0,1,2,3,1,5,3,4,4,3,2,2,4,2,1,1,1,1,1,2,1,3,0,"""",5,"",2
37,0,3,3,2,1,3,1,4,2,5,4,3,3,1,3,1,4,3,2,5,2,3,2,"""",4,"",4
38,0,1,3,4,3,4,3,5,5,5,3,3,4,4,4,4,5,5,5,0,5,3,2,"""",3,"",3
39,0,3,3,3,3,1,4,4,3,2,3,2,3,2,3,2,4,3,3,1,3,4,0,"""",0,"",5
40,0,2,2,2,1,2,2,3,1,4,3,1,2,2,3,3,2,2,3,3,2,2,0,"""",5,"",4
41,0,3,1,1,1,3,5,2,1,2,3,3,5,2,3,1,1,4,1,0,1,2,0,"""",0,"",2
42,1,3,4,5,4,1,1,4,2,3,1,5,1,1,2,3,1,1,4,5,4,2,0,"""",5,"",8
43,1,1,5,5,5,3,2,5,3,2,3,3,3,3,2,2,2,1,4,0,1,3,2,"""",5,"",7
44,0,1,2,1,1,3,3,3,3,2,3,2,3,1,1,4,2,2,2,4,2,2,0,"""",5,"",3
45,0,4,5,3,2,3,2,2,2,3,3,2,5,3,4,1,1,1,2,5,5,2,0,"""",0,"",5
46,1,3,3,5,2,3,1,5,3,1,4,1,1,1,3,4,4,1,5,5,1,3,0,"""",3,"",8
47,1,3,4,4,2,3,2,4,4,3,3,2,3,1,3,4,3,1,4,0,4,5,2,"""",4,"",8
48,0,1,3,1,1,5,3,3,1,4,3,3,5,1,2,5,1,4,5,0,1,2,0,"""",5,"",6
49,0,2,1,1,1,4,4,2,1,1,5,3,3,1,3,4,4,4,1,3,1,1,0,"""",5,"",3
50,1,5,5,5,5,3,1,5,5,2,1,1,4,1,1,3,2,4,5,5,1,5,2,"""",3,"",9
51,0,3,2,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,3,0,1,1,0,"""",3,"",4
52,0,4,5,5,4,1,1,5,4,2,1,1,2,1,4,2,5,5,4,3,2,3,3,"""",2,"",8
53,1,3,4,4,1,3,3,4,1,2,2,1,3,2,2,3,1,3,3,5,1,2,0,"""",3,"",8
54,0,4,5,5,5,5,5,5,3,3,1,1,5,5,5,5,5,5,5,5,5,5,0,"""",4,"",9
55,1,4,5,5,3,4,1,5,2,2,3,1,5,1,5,5,5,4,5,5,3,2,0,"""",5,"",7
56,0,2,3,3,3,4,2,4,2,4,3,1,2,2,2,3,3,2,3,2,4,2,1,"""",3,"",4
57,1,2,5,5,5,1,1,5,5,1,1,1,2,1,1,1,1,1,5,5,5,3,0,"""",4,"",9
58,1,1,5,5,5,1,1,4,3,3,3,2,3,1,3,3,3,5,5,5,3,2,0,"""",5,"",9
59,0,1,2,1,1,2,3,2,1,5,3,4,1,1,2,1,3,2,1,2,1,1,0,"x",0,"x",3
60,1,4,3,5,3,4,2,5,4,2,1,1,5,2,5,5,5,1,5,5,1,1,3,"""",4,"",8
61,0,3,4,5,5,2,1,4,3,3,1,1,1,1,1,1,1,1,2,0,1,3,0,"""",5,"",9
62,0,3,3,3,3,5,4,1,2,4,3,3,3,1,4,5,3,1,4,5,2,4,0,"""",4,"",4
63,1,2,5,5,5,1,1,5,2,4,2,1,1,1,1,1,2,1,5,5,2,1,2,"""",4,"",9
64,1,3,4,4,2,4,3,4,3,2,2,2,1,1,3,5,5,3,3,0,2,3,0,"""",4,"",6
65,1,2,5,5,5,4,3,5,5,3,1,2,2,1,2,2,1,1,5,0,1,5,3,"""",3,"",9
66,0,4,5,5,5,3,2,5,5,1,1,1,3,1,5,5,3,5,5,5,2,5,0,"""",4,"",9
67,1,3,5,5,5,2,1,5,5,1,1,1,3,1,2,2,2,1,5,5,3,5,3,"""",5,"",9
68,1,4,5,5,3,2,1,5,5,2,1,1,3,1,5,5,1,1,5,5,5,3,3,"""",3,"",8
69,1,4,4,5,3,3,1,5,5,4,1,1,3,2,3,2,2,4,4,0,1,2,2,"""",4,"",8
70,0,3,4,4,3,4,2,4,4,1,2,2,4,2,3,3,2,1,3,2,2,4,0,"""",0,"",4
71,1,3,2,2,3,2,1,3,1,1,3,1,1,1,3,4,1,3,3,3,1,2,0,"""",0,"",5
72,0,1,3,2,1,4,5,3,3,5,4,4,3,1,1,4,2,1,2,3,1,3,0,"20",6,"",6
73,0,1,2,1,1,5,2,2,1,4,3,1,3,2,1,1,1,1,2,0,1,2,0,"""",3,"",5
74,0,3,2,3,1,4,4,5,1,3,1,1,5,5,4,5,1,4,2,4,4,1,0,"""",6,"",2
75,0,4,5,5,4,4,1,3,3,4,3,1,4,3,5,5,3,5,5,5,1,3,0,"""",0,"",8
76,0,5,5,5,5,2,1,3,1,3,2,1,2,2,5,5,5,4,5,2,2,3,0,"""",4,"",8
77,1,5,2,2,2,1,1,3,1,3,3,3,1,3,5,3,3,5,2,0,1,1,0,"""",4,"",2
78,1,3,5,5,4,2,3,5,4,2,3,3,2,1,3,2,1,4,5,0,4,5,3,"""",3,"",8
79,0,1,1,1,1,5,1,2,1,4,3,3,5,1,1,4,2,1,3,5,1,4,0,"""",3,"",4
80,0,1,2,4,1,5,5,2,1,5,4,1,1,1,1,1,1,3,5,5,5,1,3,"""",5,"",6
81,0,4,1,1,1,4,5,2,1,5,5,5,5,4,5,5,2,5,2,0,2,1,0,"""",0,"",2
82,1,4,5,5,5,2,1,5,5,1,1,1,4,1,4,4,4,4,5,5,5,5,3,"""",1,"",8
83,1,3,5,3,5,3,2,4,4,1,3,1,4,2,3,4,4,3,5,3,2,2,3,"""",4,"",9
84,1,3,5,5,4,2,1,5,3,1,1,1,3,1,5,4,4,1,5,5,5,3,2,"""",3,"",8
85,0,4,3,4,5,3,1,5,5,1,2,2,1,5,5,2,2,5,5,0,2,3,3,"""",1,"",6
86,1,3,5,4,1,3,4,4,1,1,2,2,4,4,4,2,3,3,5,5,3,2,0,"""",5,"",8
87,0,1,1,1,1,5,3,2,2,2,2,1,4,1,1,2,1,1,1,2,1,1,0,"""",0,"",2
88,1,5,5,4,3,1,1,5,3,1,1,1,1,1,5,3,1,5,5,5,4,4,3,"""",4,"",7
89,0,2,5,3,2,3,1,3,2,5,2,1,3,2,2,2,2,2,5,5,1,2,0,"""",2,"",6
90,1,3,4,5,3,2,1,5,4,2,1,3,2,1,3,2,2,3,4,0,1,5,0,"""",3,"",NA
91,0,3,4,5,3,2,1,4,3,3,1,2,4,4,4,3,4,2,5,0,3,4,2,"""",4,"",7
92,0,3,2,1,1,3,3,1,1,4,3,3,4,3,3,3,1,2,2,3,1,1,0,"""",0,"",3
93,1,3,4,5,4,2,1,4,4,2,2,2,4,2,4,4,3,3,4,5,3,4,2,"""",5,"",8
94,0,2,2,2,1,4,3,4,3,1,1,1,1,1,1,2,1,2,1,3,1,1,0,"""",5,"",5
95,0,2,3,2,1,3,2,3,2,4,2,2,3,3,4,4,5,4,3,0,4,3,2,"""",1,"",5
96,1,2,4,4,2,4,4,3,2,5,3,2,4,1,3,4,1,1,3,0,3,2,0,"""",3,"",6
97,1,1,5,5,5,1,1,5,5,1,1,1,3,1,1,1,1,1,5,5,5,5,3,"""",3,"",9
98,1,2,3,4,4,2,5,5,2,3,4,4,3,3,4,3,2,1,4,4,5,2,2,"""",0,"",NA
99,0,3,5,3,3,3,1,5,5,1,2,1,2,3,4,4,2,3,4,1,3,4,0,"""",4,"",8
100,1,3,5,5,5,2,1,5,5,1,2,1,4,1,1,4,1,1,5,5,5,4,0,"""",4,"",9
